Time, z_position, z_position_rk_tendency, y_position, y_position_rk_tendency, x_position, x_position_rk_tendency, volume, qr, nr, vterm, prevp, nrevp
    7.00,      2989.7868391410,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009985002,     56594.1873763734,         1.4482067883,        -0.0000002012,      -465.0486201508
    7.10,      2989.6419905380,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009984801,     56547.7233020809,         1.4484860084,        -0.0000002009,      -464.6407360012
    7.20,      2989.4971140082,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009984600,     56501.2999736464,         1.4487652757,        -0.0000002007,      -464.2332774270
    7.30,      2989.3522095471,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009984400,     56454.9173485761,         1.4490445901,        -0.0000002004,      -463.8262437921
    7.40,      2989.2072771497,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009984200,     56408.5753844393,         1.4493239517,        -0.0000002001,      -463.4196344621
    7.50,      2989.0623168115,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009984000,     56362.2740388690,         1.4496033605,        -0.0000001998,      -463.0134488041
    7.60,      2988.9173285277,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009983800,     56316.0132695610,         1.4498828164,        -0.0000001996,      -462.6076861863
    7.70,      2988.7723122936,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009983601,     56269.7930342743,         1.4501623196,        -0.0000001993,      -462.2023459789
    7.80,      2988.6272681044,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009983402,     56223.6132908309,         1.4504418700,        -0.0000001990,      -461.7974275532
    7.90,      2988.4821959555,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009983203,     56177.4739971152,         1.4507214677,        -0.0000001988,      -461.3929302820
    8.00,      2988.3370958421,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009983005,     56131.3751110743,         1.4510011127,        -0.0000001985,      -460.9888535396
    8.10,      2988.1919677594,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009982806,     56085.3165907178,         1.4512808049,        -0.0000001982,      -460.5851967018
    8.20,      2988.0468117028,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009982608,     56039.2983941175,         1.4515605445,        -0.0000001980,      -460.1819591458
    8.30,      2987.9016276675,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009982411,     55993.3204794073,         1.4518403315,        -0.0000001977,      -459.7791402502
    8.40,      2987.7564156487,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009982213,     55947.3828047833,         1.4521201658,        -0.0000001974,      -459.3767393952
    8.50,      2987.6111756418,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009982016,     55901.4853285032,         1.4524000475,        -0.0000001972,      -458.9747559621
    8.60,      2987.4659076420,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009981819,     55855.6280088865,         1.4526799766,        -0.0000001969,      -458.5731893340
